defense	Round	TrayPos	LPopID	Lbarcode	LCrossNum	Lindiv	Lorigin	Leaten.mm	Lrem.pro	RPopID	Rbarcode	RCrossNum	Rindiv	Rorigin	Reaten.mm	Rrem.pro	MostEat	EatDiffI.N	MostEat.Scan	eat.bin
const 5 65	const	5	65		SAND-1-5	NA	NA	SK	NA	NA	NA	RU008-2-1	NA	NA	nat	NA	NA	sk	NA	sk	2
const 5 66	const	5	66		CA001-11-1	NA	NA	inv	NA	NA	NA	GR002-5-1	NA	NA	nat	NA	NA	inv	NA	inv	0
const 5 67	const	5	67		CA001-6-2	NA	NA	inv	NA	NA	NA	TR001-2-1	NA	NA	nat	NA	NA	inv	NA	inv	0
const 5 68	const	5	68		US001-12-2	NA	NA	inv	NA	NA	NA	BG001-3-1	NA	NA	nat	NA	NA	inv	NA	inv	0
const 5 69	const	5	69		US002-3-6	NA	NA	inv	NA	NA	NA	GR002-3-3	NA	NA	nat	NA	NA	NA	NA	tie	3
const 5 70	const	5	70		US002-5-2	NA	NA	inv	NA	NA	NA	SAND-2-7	NA	NA	SK	NA	NA	NA	NA	tie	3
const 5 71	const	5	71		CA001-15-4	NA	NA	inv	NA	NA	NA	BG001-17-2	NA	NA	nat	NA	NA	inv	NA	inv	0
const 6 72	const	6	72		US001-7-7	NA	NA	inv	NA	NA	NA	RU008-2-1	NA	NA	nat	NA	NA	inv	NA	inv	0
const 6 73	const	6	73		US003-11-1	NA	NA	inv	NA	NA	NA	RU008-8-4	NA	NA	nat	NA	NA	NA	NA	tie	3
const 6 74	const	6	74		US002-3-25	NA	NA	inv	NA	NA	NA	SAND-2-7	NA	NA	SK	NA	NA	sk	NA	sk	2
const 6 75	const	6	75		SAND-2-7	NA	NA	SK	NA	NA	NA	GR002-3-3	NA	NA	nat	NA	NA	nat	NA	nat	1
const 6 76	const	6	76		US003-16-2	NA	NA	inv	NA	NA	NA	BG001-8-5	NA	NA	nat	NA	NA	inv	NA	inv	0
const 6 77	const	6	77		US001-2-6	NA	NA	inv	NA	NA	NA	TR001-6-7	NA	NA	nat	NA	NA	inv	NA	inv	0
const 6 78	const	6	78		US003-16-14	NA	NA	inv	NA	NA	NA	RU008-8-1	NA	NA	nat	NA	NA	nat	NA	nat	1
const 6 79	const	6	79		SAND-1-5	NA	NA	SK	NA	NA	NA	TR001-10-4	NA	NA	nat	NA	NA	sk	NA	sk	2
const 6 80	const	6	80		CA001-11-1	NA	NA	inv	NA	NA	NA	GR002-5-1	NA	NA	nat	NA	NA	inv	NA	inv	0
const 6 81	const	6	81		CA001-6-2	NA	NA	inv	NA	NA	NA	TR001-2-1	NA	NA	nat	NA	NA	nat	NA	nat	1
const 6 82	const	6	82		US001-12-2	NA	NA	inv	NA	NA	NA	BG001-17-2	NA	NA	nat	NA	NA	nat	NA	nat	1
const 6 83	const	6	83		US002-3-6	NA	NA	inv	NA	NA	NA	GR002-3-1	NA	NA	nat	NA	NA	nat	NA	nat	1
const 6 84	const	6	84		US002-5-2	NA	NA	inv	NA	NA	NA	SAND-1-5	NA	NA	SK	NA	NA	inv	NA	inv	0
const 6 85	const	6	85		CA001-15-4	NA	NA	inv	NA	NA	NA	BG001-3-1	NA	NA	nat	NA	NA	nat	NA	nat	1
Induced 1 1 1	Induced 1	1	1		US001-7-7	NA	NA	inv	3.0533517	0.902	NA	GR002-3-1	NA	NA	nat	1.90055565	0.939	NA	1.15279605	inv	0
Induced 1 1 2	Induced 1	1	2		US003-11-1	NA	NA	inv	0	1	NA	BG001-8-5	NA	NA	nat	2.52368865	0.919	NA	-2.52368865	nat	1
Induced 1 1 3	Induced 1	1	3		US002-3-25	NA	NA	inv	4.01920785	0.871	NA	BG001-3-1	NA	NA	nat	6.7921497	0.782	nat	-2.77294185	nat	1
Induced 1 1 4	Induced 1	1	4		SAND-2-7	NA	NA	SK	8.1630423	0.738	NA	GR002-5-1	NA	NA	nat	3.9257379	0.874	sk	4.2373044	sk	2
Induced 1 1 5	Induced 1	1	5		US003-16-2	NA	NA	inv	10.68673095	0.657	NA	GR002-3-3	NA	NA	nat	2.3679054	0.924	inv	8.31882555	inv	0
Induced 1 1 6	Induced 1	1	6		US001-2-6	NA	NA	inv	3.27144825	0.895	NA	TR001-2-1	NA	NA	nat	1.58898915	0.949	inv	1.6824591	inv	0
Induced 1 1 7	Induced 1	1	7		US003-16-14	NA	NA	inv	9.0354285	0.71	NA	SAND-2-2	NA	NA	SK	7.7891625	0.75	inv	1.246266	inv	0
Induced 1 1 8	Induced 1	1	8		SAND-1-5	NA	NA	SK	3.45838815	0.889	NA	BG001-17-2	NA	NA	nat	10.7802009	0.654	nat	-7.32181275	nat	1
Induced 1 1 9	Induced 1	1	9		CA001-11-1	NA	NA	inv	2.492532	0.92	NA	TR001-10-4	NA	NA	nat	7.477596	0.76	nat	-4.985064	nat	1
Induced 1 1 10	Induced 1	1	10		SAND-2-2	NA	NA	SK	4.1749911	0.866	NA	RU008-8-1	NA	NA	nat	3.02219505	0.903	NA	1.15279605	inv	0
Induced 1 1 11	Induced 1	1	11		CA001-6-2	NA	NA	inv	0.6854463	0.978	NA	SAND-1-5	NA	NA	SK	2.1809655	0.93	NA	-1.4955192	nat	1
Induced 1 1 12	Induced 1	1	12		US001-12-2	NA	NA	inv	3.1779783	0.898	NA	RU008-2-1	NA	NA	nat	1.3708926	0.956	NA	1.8070857	inv	0
Induced 1 1 13	Induced 1	1	13		US002-3-6	NA	NA	inv	8.75501865	0.719	NA	RU008-8-4	NA	NA	nat	8.75501865	0.719	inv	0	tie	3
Induced 1 1 14	Induced 1	1	14		US002-5-2	NA	NA	inv	11.4033339	0.634	NA	TR001-6-7	NA	NA	nat	6.20017335	0.801	inv	5.20316055	inv	0
Induced 1 1 15	Induced 1	1	15		CA001-15-4	NA	NA	inv	1.52667585	0.951	NA	SAND-2-7	NA	NA	SK	1.7447724	0.944	inv	-0.21809655	nat	1
Induced 1 2 16	Induced 1	2	16		US001-7-7	NA	NA	inv	3.3026049	0.894	NA	RU008-8-4	NA	NA	nat	5.57704035	0.821	nat	-2.27443545	nat	1
Induced 1 2 17	Induced 1	2	17		US003-11-1	NA	NA	inv	8.723862	0.72	NA	GR002-3-1	NA	NA	nat	3.64532805	0.883	inv	5.07853395	inv	0
Induced 1 2 18	Induced 1	2	18		US002-3-25	NA	NA	inv	7.75800585	0.751	NA	BG001-17-2	NA	NA	nat	1.4332059	0.954	inv	6.32479995	inv	0
Induced 1 2 19	Induced 1	2	19		SAND-2-7	NA	NA	SK	1.58898915	0.949	NA	BG001-8-5	NA	NA	nat	4.7358108	0.848	NA	-3.14682165	nat	1
Induced 1 2 20	Induced 1	2	20		US003-16-2	NA	NA	inv	2.8040985	0.91	NA	SAND-1-5	NA	NA	SK	2.4302187	0.922	NA	0.3738798	inv	0
Induced 1 2 21	Induced 1	2	21		US001-2-6	NA	NA	inv	0.84122955	0.973	NA	GR002-5-1	NA	NA	nat	3.6764847	0.882	NA	-2.83525515	nat	1
Induced 1 2 22	Induced 1	2	22		US003-16-14	NA	NA	inv	2.7417852	0.912	NA	TR001-2-1	NA	NA	nat	2.64831525	0.915	NA	0.09346995	inv	0
Induced 1 2 23	Induced 1	2	23		SAND-1-5	NA	NA	SK	6.0443901	0.806	NA	TR001-6-7	NA	NA	nat	3.6764847	0.882	sk	2.3679054	sk	2
Induced 1 2 24	Induced 1	2	24		CA001-11-1	NA	NA	inv	3.2402916	0.896	NA	TR001-10-4	NA	NA	nat	1.71361575	0.945	NA	1.52667585	inv	0
Induced 1 2 25	Induced 1	2	25		SAND-2-2	NA	NA	SK	4.1749911	0.866	NA	RU008-2-1	NA	NA	nat	6.6052098	0.788	nat	-2.4302187	nat	1
Induced 1 2 26	Induced 1	2	26		CA001-6-2	NA	NA	inv	7.19718615	0.769	NA	RU008-8-1	NA	NA	nat	2.6171586	0.916	inv	4.58002755	inv	0
Induced 1 2 27	Induced 1	2	27		US001-12-2	NA	NA	inv	14.0204925	0.55	NA	BG001-3-1	NA	NA	nat	6.5428965	0.79	inv	7.477596	inv	0
Induced 1 2 28	Induced 1	2	28		US002-3-6	NA	NA	inv	6.69867975	0.785	NA	SAND-2-7	NA	NA	SK	9.8455014	0.684	sk	-3.14682165	sk	2
Induced 1 2 29	Induced 1	2	29		US002-5-2	NA	NA	inv	7.2283428	0.768	NA	SAND-2-2	NA	NA	SK	10.56210435	0.661	sk	-3.33376155	sk	2
Induced 1 2 30	Induced 1	2	30		CA001-15-4	NA	NA	inv	14.30090235	0.541	NA	GR002-3-3	NA	NA	nat	5.51472705	0.823	inv	8.7861753	inv	0
Induced 1 3 31	Induced 1	3	31		US001-7-7	NA	NA	inv	5.9197635	0.81	NA	GR002-5-1	NA	NA	nat	4.7981241	0.846	NA	1.1216394	inv	0
Induced 1 3 32	Induced 1	3	32		US003-11-1	NA	NA	inv	5.88860685	0.811	NA	RU008-8-4	NA	NA	nat	10.9048275	0.65	inv	-5.01622065	nat	1
Induced 1 3 33	Induced 1	3	33		US002-3-25	NA	NA	inv	0	1	NA	RU008-8-1	NA	NA	nat	6.32479995	0.797	nat	-6.32479995	nat	1
Induced 1 3 34	Induced 1	3	34		US003-16-2	NA	NA	inv	7.2283428	0.768	NA	GR002-3-3	NA	NA	nat	2.71062855	0.913	inv	4.51771425	inv	0
Induced 1 3 35	Induced 1	3	35		US001-2-6	NA	NA	inv	7.9761024	0.744	NA	TR001-2-1	NA	NA	nat	3.14682165	0.899	inv	4.82928075	inv	0
Induced 1 3 36	Induced 1	3	36		US003-16-14	NA	NA	inv	1.4955192	0.952	NA	BG001-17-2	NA	NA	nat	2.7417852	0.912	NA	-1.246266	nat	1
Induced 1 3 37	Induced 1	3	37		SAND-1-5	NA	NA	SK	3.0533517	0.902	NA	TR001-6-7	NA	NA	nat	12.8365398	0.588	nat	-9.7831881	nat	1
Induced 1 3 38	Induced 1	3	38		CA001-11-1	NA	NA	inv	3.70764135	0.881	NA	BG001-8-5	NA	NA	nat	3.83226795	0.877	NA	-0.1246266	nat	1
Induced 1 3 39	Induced 1	3	39		CA001-6-2	NA	NA	inv	2.08749555	0.933	NA	TR001-10-4	NA	NA	nat	9.44046495	0.697	nat	-7.3529694	nat	1
Induced 1 3 40	Induced 1	3	40		US001-12-2	NA	NA	inv	2.64831525	0.915	NA	BG001-3-1	NA	NA	nat	7.9761024	0.744	nat	-5.32778715	nat	1
Induced 1 3 41	Induced 1	3	41		US002-3-6	NA	NA	inv	2.02518225	0.935	NA	SAND-2-7	NA	NA	SK	1.77592905	0.943	NA	0.2492532	inv	0
Induced 1 3 42	Induced 1	3	42		US002-5-2	NA	NA	inv	3.14682165	0.899	NA	GR002-3-1	NA	NA	nat	3.1779783	0.898	nat	-0.03115665	nat	1
Induced 1 3 43	Induced 1	3	43		CA001-15-4	NA	NA	inv	2.8040985	0.91	NA	RU008-2-1	NA	NA	nat	3.4895448	0.888	nat	-0.6854463	nat	1
Induced 1 4 44	Induced 1	4	44		US001-7-7	NA	NA	inv	12.3380334	0.604	NA	GR002-5-1	NA	NA	nat	3.1779783	0.898	inv	9.1600551	inv	0
Induced 1 4 45	Induced 1	4	45		US003-11-1	NA	NA	inv	2.2432788	0.928	NA	RU008-8-4	NA	NA	nat	1.3708926	0.956	NA	0.8723862	inv	0
Induced 1 4 46	Induced 1	4	46		US002-3-25	NA	NA	inv	2.95988175	0.905	NA	SAND-2-2	NA	NA	SK	3.76995465	0.879	sk	-0.8100729	sk	2
Induced 1 4 47	Induced 1	4	47		US003-16-2	NA	NA	inv	3.9257379	0.874	NA	TR001-2-1	NA	NA	nat	2.9910384	0.904	inv	0.9346995	inv	0
Induced 1 4 48	Induced 1	4	48		US001-2-6	NA	NA	inv	7.0414029	0.774	NA	BG001-17-2	NA	NA	nat	2.27443545	0.927	inv	4.76696745	inv	0
Induced 1 4 49	Induced 1	4	49		US003-16-14	NA	NA	inv	8.31882555	0.733	NA	SAND-1-5	NA	NA	SK	2.4302187	0.922	inv	5.88860685	inv	0
Induced 1 4 50	Induced 1	4	50		SAND-1-5	NA	NA	SK	1.8070857	0.942	NA	GR002-3-1	NA	NA	nat	6.4182699	0.794	sk	-4.6111842	sk	2
Induced 1 4 51	Induced 1	4	51		CA001-11-1	NA	NA	inv	2.52368865	0.919	NA	TR001-10-4	NA	NA	nat	0.84122955	0.973	inv	1.6824591	inv	0
Induced 1 4 52	Induced 1	4	52		SAND-2-2	NA	NA	SK	2.02518225	0.935	NA	TR001-6-7	NA	NA	nat	2.39906205	0.923	nat	-0.3738798	nat	1
Induced 1 4 53	Induced 1	4	53		CA001-6-2	NA	NA	inv	0	1	NA	BG001-8-5	NA	NA	nat	0.71660295	0.977	NA	-0.71660295	nat	1
Induced 1 4 54	Induced 1	4	54		US001-12-2	NA	NA	inv	4.7358108	0.848	NA	GR002-3-3	NA	NA	nat	2.33674875	0.925	nat	2.39906205	inv	0
Induced 1 4 55	Induced 1	4	55		US002-3-6	NA	NA	inv	1.52667585	0.951	NA	RU008-2-1	NA	NA	nat	5.7951369	0.814	NA	-4.26846105	nat	1
Induced 1 4 56	Induced 1	4	56		US002-5-2	NA	NA	inv	1.6201458	0.948	NA	BG001-3-1	NA	NA	nat	7.1037162	0.772	NA	-5.4835704	nat	1
Induced 1 4 57	Induced 1	4	57		CA001-15-4	NA	NA	inv	1.7447724	0.944	NA	RU008-8-1	NA	NA	nat	2.27443545	0.927	nat	-0.52966305	nat	1
Induced 1 5 58	Induced 1	5	58		US001-7-7	NA	NA	inv	1.58898915	0.949	NA	RU008-8-1	NA	NA	nat	1.83824235	0.941	nat	-0.2492532	nat	1
Induced 1 5 59	Induced 1	5	59		US003-11-1	NA	NA	inv	3.6764847	0.882	NA	BG001-8-5	NA	NA	nat	0	1	NA	3.6764847	inv	0
Induced 1 5 60	Induced 1	5	60		US002-3-25	NA	NA	inv	9.7831881	0.686	NA	GR002-3-1	NA	NA	nat	1.71361575	0.945	NA	8.06957235	inv	0
Induced 1 5 61	Induced 1	5	61		SAND-2-7	NA	NA	SK	1.4955192	0.952	NA	TR001-10-4	NA	NA	nat	3.5518581	0.886	inv	-2.0563389	nat	1
Induced 1 5 62	Induced 1	5	62		US003-16-2	NA	NA	inv	0	1	NA	TR001-2-1	NA	NA	nat	2.1186522	0.932	inv	-2.1186522	nat	1
Induced 1 5 63	Induced 1	5	63		US001-2-6	NA	NA	inv	4.9227507	0.842	NA	TR001-6-7	NA	NA	nat	0.9346995	0.97	inv	3.9880512	inv	0
Induced 1 5 64	Induced 1	5	64		US003-16-14	NA	NA	inv	2.89756845	0.907	NA	RU008-2-1	NA	NA	nat	2.14980885	0.931	NA	0.7477596	inv	0
Induced 1 5 65	Induced 1	5	65		SAND-1-5	NA	NA	SK	11.1540807	0.642	NA	GR002-3-3	NA	NA	nat	4.82928075	0.845	inv	6.32479995	inv	0
Induced 1 5 66	Induced 1	5	66		CA001-11-1	NA	NA	inv	0.623133	0.98	NA	SAND-2-2	NA	NA	SK	2.2432788	0.928	NA	-1.6201458	nat	1
Induced 1 5 67	Induced 1	5	67		SAND-2-2	NA	NA	SK	8.7861753	0.718	NA	SAND-2-7	NA	NA	SK	1.15279605	0.963	NA (SK left)	7.63337925	sk	2
Induced 1 5 68	Induced 1	5	68		CA001-6-2	NA	NA	inv	1.246266	0.96	NA	BG001-17-2	NA	NA	nat	0.77891625	0.975	NA	0.46734975	inv	0
Induced 1 5 69	Induced 1	5	69		US001-12-2	NA	NA	inv	0.2492532	0.992	NA	GR002-5-1	NA	NA	nat	2.95988175	0.905	NA	-2.71062855	nat	1
Induced 1 5 70	Induced 1	5	70		US002-3-6	NA	NA	inv	0.77891625	0.975	NA	SAND-1-5	NA	NA	SK	2.6794719	0.914	NA	-1.90055565	nat	1
Induced 1 5 71	Induced 1	5	71		US002-5-2	NA	NA	inv	5.1720039	0.834	NA	BG001-3-1	NA	NA	nat	3.4895448	0.888	NA	1.6824591	inv	0
Induced 1 5 72	Induced 1	5	72		CA001-15-4	NA	NA	inv	2.492532	0.92	NA	RU008-8-4	NA	NA	nat	1.9317123	0.938	NA	0.5608197	inv	0
Induced 1 6 73	Induced 1	6	73		US001-7-7	NA	NA	inv	1.58898915	0.949	NA	BG001-8-5	NA	NA	nat	4.0503645	0.87	NA	-2.46137535	nat	1
Induced 1 6 74	Induced 1	6	74		US003-11-1	NA	NA	inv	0.40503645	0.987	NA	SAND-2-2	NA	NA	SK	2.9287251	0.906	sk	-2.52368865	sk	2
Induced 1 6 75	Induced 1	6	75		US002-3-25	NA	NA	inv	1.65130245	0.947	NA	RU008-8-1	NA	NA	nat	6.01323345	0.807	nat	-4.361931	nat	1
Induced 1 6 76	Induced 1	6	76		SAND-2-7	NA	NA	SK	1.52667585	0.951	NA	BG001-17-2	NA	NA	nat	1.33973595	0.957	NA	0.1869399	inv	0
Induced 1 6 77	Induced 1	6	77		US003-16-2	NA	NA	inv	6.9790896	0.776	NA	GR002-3-3	NA	NA	nat	3.39607485	0.891	inv	3.58301475	inv	0
Induced 1 6 78	Induced 1	6	78		US001-2-6	NA	NA	inv	3.6764847	0.882	NA	SAND-2-7	NA	NA	SK	0	1	sk	3.6764847	sk	2
Induced 1 6 79	Induced 1	6	79		US003-16-14	NA	NA	inv	0.7477596	0.976	NA	RU008-8-4	NA	NA	nat	1.40204925	0.955	NA	-0.65428965	nat	1
Induced 1 6 80	Induced 1	6	80		SAND-1-5	NA	NA	SK	6.07554675	0.805	NA	BG001-3-1	NA	NA	nat	1.33973595	0.957	sk	4.7358108	sk	2
Induced 1 6 81	Induced 1	6	81		CA001-11-1	NA	NA	inv	1.5578325	0.95	NA	TR001-2-1	NA	NA	nat	0	1	inv	1.5578325	inv	0
Induced 1 6 82	Induced 1	6	82		SAND-2-2	NA	NA	SK	0	1	NA	SAND-1-5	NA	NA	SK	1.869399	0.94	NA	-1.869399	nat	1
Induced 1 6 83	Induced 1	6	83		CA001-6-2	NA	NA	inv	1.27742265	0.959	NA	TR001-6-7	NA	NA	nat	4.01920785	0.871	NA	-2.7417852	nat	1
Induced 1 6 84	Induced 1	6	84		US001-12-2	NA	NA	inv	1.27742265	0.959	NA	GR002-5-1	NA	NA	nat	2.5548453	0.918	NA	-1.27742265	nat	1
