CrossID	PopID	CrossNum	SeedCount	GermCount	GermAvgDate	MomID	MomFam	MomIndiv	DadID	DadFam	DadIndiv	Origin	BegCrossDate	WtCount	TotSeedWt	SeedWt
RU008-6	RU008-6	RU008	6	1	1	3	21N	21	N	16N	16	N	nat	1/27/2010	1	0.0019	0.0019
RU008-7	RU008-7	RU008	7	1	1	2	21N	21	N	17L	17	L	nat	1/27/2010	1	0.0021	0.0021
RU008-8	RU008-8	RU008	8	7	7	2.285714286	21M	21	M	17K	17	K	nat	2/26/2010	7	0.0124	0.001771429
RU008-9	RU008-9	RU008	9	5	5	2.4	21M	21	M	16N	16	N	nat	1/20/2010	6	0.0111	0.00185
RU008-10	RU008-10	RU008	10	1	1	2	21M	21	M	17L	17	L	nat	1/20/2010	1	0.0019	0.0019
RU008-11	RU008-11	RU008	11	2	2	3	12M	12	M	16N	16	N	nat	2/26/2010	2	0.0037	0.00185
SAND-1	SAND-1	SAND	1	10	9	2.111111111	239	NA			NA		sk		NA	NA	0.02
SAND-2	SAND-2	SAND	2	10	8	2	232	NA			NA		sk		NA	NA	0.015
SAND-3	SAND-3	SAND	3	10	6	2.166666667	240	NA			NA		sk		NA	NA	0.015
SERG-1	SERG-1	SERG	1	10	7	2	23	NA			NA		sk		NA	NA	0.017
SERG-2	SERG-2	SERG	2	10	9	2	24	NA			NA		sk		NA	NA	0.014
SERG-3	SERG-3	SERG	3	10	10	2	16	NA			NA		sk		NA	NA	NA
TR001-1	TR001-1	TR001	1	2	2	3	12M	12	M	29K	29	K	nat	1/27/2010	2	0.0028	0.0014
TR001-2	TR001-2	TR001	2	2	2	2.5	12M	12	M	1K	1	K	nat	2/26/2010	2	0.0037	0.00185
TR001-3	TR001-3	TR001	3	3	3	2	12M	12	M	10A	10	A	nat	2/9/2010	3	0.0053	0.001766667
TR001-4	TR001-4	TR001	4	3	1	2	19N	19	N	12M	12	M	nat	1/27/2010	3	0.002	0.000666667
TR001-5	TR001-5	TR001	5	2	2	2	10A	10	A	12M	12	M	nat	1/16/2010	2	0.0039	0.00195
TR001-6	TR001-6	TR001	6	7	7	2.714285714	12K	12	K	1K	1	K	nat	2/26/2010	8	0.0139	0.0017375
TR001-7	TR001-7	TR001	7	1	1	3	1K	1	K	12M	12	M	nat	2/26/2010	1	0.002	0.002
TR001-8	TR001-8	TR001	8	1	1	2	1K	1	K	12K	12	K	nat	2/26/2010	1	0.002	0.002
TR001-9	TR001-9	TR001	9	30	27	2.148148148	29K	29	K	12M	12	M	nat	1/27/2010	35	0.029	0.000828571
TR001-10	TR001-10	TR001	10	5	4	2.75	29K	29	K	1K	1	K	nat	2/26/2010	5	0.005	0.001
US001-1	US001-1	US001	1	1	1	2	22N	22	N	23D	23	D	inv	1/25/2010	1	0.0019	0.0019
US001-2	US001-2	US001	2	5	4	2.25	22N	22	N	23N	23	N	inv	1/25/2010	5	0.0095	0.0019
US001-3	US001-3	US001	3	1	1	2	22M	22	M	22N	22	N	inv	1/28/2010	1	0.0017	0.0017
US001-4	US001-4	US001	4	10	10	2.1	22M	22	M	23N	23	N	inv	1/27/2010	10	0.0163	0.00163
US001-5	US001-5	US001	5	3	3	2	22M	22	M	20M	20	M	inv	1/21/2010	3	0.0051	0.0017
US001-6	US001-6	US001	6	6	5	2	23N	23	N	22N	22	N	inv	1/25/2010	6	0.014	0.002333333
US001-7	US001-7	US001	7	14	11	2	23N	23	N	23D	23	D	inv	3/1/2010	14	0.026	0.001857143
US001-8	US001-8	US001	8	3	3	2	23N	23	N	20M	20	M	inv	1/25/2010	3	0.006	0.002
US001-9	US001-9	US001	9	7	7	2.142857143	23N	23	N	20L	20	L	inv	3/1/2010	7	0.013	0.001857143
US001-10	US001-10	US001	10	8	8	2	20L	20	L	5L	5	L	inv	3/17/2010	8	0.02	0.0025
US001-11	US001-11	US001	11	1	1	2	20L	20	L	23N	23	N	inv	3/1/2010	1	0.003	0.003
US001-12	US001-12	US001	12	3	2	2	20L	20	L	22M	22	M	inv	3/1/2010	3	0.008	0.002666667
US002-1	US002-1	US002	1	2	2	2	17L	17	L	24K	24	K	inv	1/26/2010	1	0.0032	0.0032
US002-2	US002-2	US002	2	3	3	2	22K	22	K	24K	24	K	inv	1/20/2010	3	0.0048	0.0016
US002-3	US002-3	US002	3	31	28	2.035714286	22K	22	K	5K	5	K	inv	1/25/2010	31	0.0416	0.001341935
US002-4	US002-4	US002	4	1	1	2	22L	22	L	24K	24	K	inv	1/28/2010	1	0.0023	0.0023
US002-5	US002-5	US002	5	12	12	2.083333333	22L	22	L	1M	1	M	inv	1/26/2010	12	0.0132	0.0011
US002-6	US002-6	US002	6	5	5	3.2	24K	24	K	5K	5	K	inv	1/25/2010	5	0.0056	0.00112
US003-1	US003-1	US003	1	1	0	NA	27M	27	M	27N	27	N	inv	2/7/2010	1	0.001	0.001
US003-2	US003-2	US003	2	2	2	2	6K	6	K	20K	20	K	inv	1/14/2010	2	0.003	0.0015
US003-3	US003-3	US003	3	22	22	2	20K	20	K	27M	27	M	inv	1/27/2010	22	0.0351	0.001595455
US003-4	US003-4	US003	4	4	4	2.25	20K	20	K	28L	28	L	inv	1/20/2010	4	0.0083	0.002075
US003-5	US003-5	US003	5	9	8	2	20K	20	K	19K	19	K	inv	1/14/2010	9	0.0146	0.001622222
US003-6	US003-6	US003	6	3	3	2	20K	20	K	27N	27	N	inv	1/12/2010	3	0.0056	0.001866667
US003-7	US003-7	US003	7	14	14	2	27M	27	M	28L	28	L	inv	1/27/2010	14	0.0173	0.001235714
US003-8	US003-8	US003	8	7	7	2.142857143	27M	27	M	19K	19	K	inv	1/27/2010	7	0.0117	0.001671429
US003-9	US003-9	US003	9	15	15	2.866666667	27M	27	M	20K	20	K	inv	1/27/2010	15	0.0213	0.00142
US003-10	US003-10	US003	10	2	2	2	28L	28	L	19K	19	K	inv	2/2/2010	2	0.0036	0.0018
US003-11	US003-11	US003	11	17	16	2	28L	28	L	20K	20	K	inv	1/27/2010	17	0.0222	0.001305882
US003-12	US003-12	US003	12	6	6	2.166666667	28L	28	L	27N	27	N	inv	1/20/2010	6	0.0108	0.0018
US003-13	US003-13	US003	13	9	8	2	28L	28	L	6K	6	K	inv	1/20/2010	9	0.0129	0.001433333
US003-14	US003-14	US003	14	10	10	2.1	28L	28	L	27M	27	M	inv	1/27/2010	10	0.0157	0.00157
US003-15	US003-15	US003	15	5	5	2	19K	19	K	27N	27	N	inv	1/12/2010	5	0.0065	0.0013
US003-16	US003-16	US003	16	14	14	2.428571429	19K	19	K	20K	20	K	inv	1/14/2010	11	0.0185	0.001681818
US003-17	US003-17	US003	17	3	3	2	19K	19	K	28L	28	L	inv	2/2/2010	3	0.0039	0.0013
US003-18	US003-18	US003	18	1	1	2	19K	19	K	27M	27	M	inv	1/27/2010	1	0.0018	0.0018
